Folder Name,H2S_uptake capacity  [mol/kg]
DB0-m3_o520_o1_f0_fsc.sym.11_repeat,16.85318
DB0-m29_o89_o450_f0_pts.sym.8_repeat,23.65138
DB5-hypotheticalMOF_14802_0_0_0_16_10_7_repeat,44.61118
DB0-m2_o2_o24_f0_nbo.sym.19_repeat,52.15185
DB0-m2_o8_o8_f0_pcu.sym.132_repeat,40.08705
DB0-m3_o2_o25_f0_nbo.sym.76_repeat,55.71032
DB0-m3_o160_o510_f0_fsc.sym.85_repeat,22.05819
DB0-m3_o420_o23_f0_fsc.sym.6_repeat,19.23229
DB0-m2_o4_o4_f0_nbo.sym.81_repeat,40.25664
DB0-m3_o1_o23_f0_nbo.sym.5_repeat,60.29397
DB0-m2_o19_o110_f0_fsc_repeat,37.27317
DB0-m3_o1490_o156_f0_fsc.sym.32_repeat,15.18565
DB0-m3_o15_o24_f0_nbo.sym.56_repeat,26.27179
DB0-m29_o90_o470_f0_pts.sym.59_repeat,27.04991
DB0-m3_o6_o11_f0_pcu.sym.22_repeat,56.36703
DB0-m3_o45_o6_f0_fsc.sym.19_repeat,24.57931
DB0-m3_o3_o8_f0_pcu.sym.71_repeat,42.38229
DB0-m3_o24_o25_f0_pcu.sym.16_repeat,21.11129
DB6-cuf_4779_repeat,37.94518
DB0-m3_o2_o23_f0_pcu.sym.20_repeat,45.31692
DB0-m3_o146_o14_f0_fsc.sym.132_repeat,13.04823
DB0-m29_o90_o147_f0_pts.sym.85_repeat,14.66748
DB0-m29_o99_o53_f0_pts.sym.51_repeat,31.53533
DB0-m29_o81_o52_f0_pts.sym.102_repeat,20.25531
DB0-m3_o152_o23_f0_fsc.sym.105_repeat,19.09765
DB6-cuf_1632_repeat,18.9495
DB5-hypotheticalMOF_36441_1_0_2_16_21_5_repeat,36.72802
DB0-m3_o1_o85_f0_fsc_repeat,9.555367
DB0-m3_o96_o1_f0_fsc.sym.23_repeat,16.22755
DB0-m3_o24_o520_f0_fsc.sym.83_repeat,13.13101
DB7-ddmof_3846_repeat,30.8782
DB0-m29_o92_o470_f0_pts.sym.25_repeat,23.6196
DB0-m3_o16_o26_f0_pcu.sym.61_repeat,40.88632
DB0-m29_o85_o510_f0_pts.sym.63_repeat,27.15717
DB0-m3_o2_o6_f0_nbo.sym.75_repeat,73.30827
DB0-m3_o1_o1_f0_nbo.sym.10_repeat,16.955
DB12-KEDJAG_clean_repeat,16.74465
DB0-m3_o16_o510_f0_fsc.sym.60_repeat,13.94195
DB0-m29_o89_o86_f0_pts.sym.45_repeat,15.6982
